unit_name,marks,state,source,source_page
WORKS LTD. SUMAN MANUFACTURING WORKS LTD.,"GAGANBARI PREMIUM, MUDIPARA, MUDIPARA VALUE, GAGANBARI VALUE, GAGANBARI,",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),11
SWARNALAXMI MERCANTILE P. LTD SWARNALAXMI MERCANTILE P. LTD,"JOTIYAKALI, JOTIYAKALI GOLD TEESTA TEA CO.PVT.LTD.TEESTA TEA CO.PVT.LTD. WEST",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),11
"JOTIYAKALI, JOTIYAKALI GOLD TEESTA TEA CO.PVT.LTD.TEESTA TEA CO.PVT.LTD.","PANBARI ROYAL, PANBARI GOLD, PANBARI, KALAMATI GOLD, RANGDHAMALI, KALAMATI",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),11
UNIQUE TEA BORN PRIVATE LIMITED UNIQUE TEA BORN PRIVATE LIMITED,"TEA BORN, DEB NAGAR UTTORAYON TEA INDUSTRIES PVT. LTD",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),11
PVT. LTD UTTORAYON BOUGHT LEAF FACTORY & STG,"MOHINIPUR, HARSINGPUR, MAHAVIR, UTI BLACK VITCO TEA & ALLIED P. LTD.VITCO TEA FACTORY & STG",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),11
"MOHINIPUR, HARSINGPUR, MAHAVIR, UTI BLACK VITCO TEA & ALLIED P. LTD.VITCO TEA FACTORY & STG","BAGHPOOKRIE, VITCO GOLD, BAGHPOOKRIE PREMIUM, SEVAGRAM",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),11
PLANTATIONS PVT LTD VRINDABAN TEA & PLANTATIONS PVT LTD,"KAIRA SUPREME, SONA PREMIUM, PARVATI GOLD KASTURI TEA PLANTATIONKASTURI TEA PLANTATION",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),12
"KAIRA SUPREME, SONA PREMIUM, PARVATI GOLD KASTURI TEA PLANTATIONKASTURI TEA PLANTATION","AAMTOLA, TIPKAI P. D. BAJORIA & SONS TEA COMPANY PVT. LTD.",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),12
COMPANY PVT. LTD. P. D. BAJORIA & SONS TEA COMPANY PVT. LTD.,MANVI RUCHI AGRO PRODUCTS PVT.LTD.,West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),12
RUCHI AGRO PRODUCTS PVT.LTD. RUCHI AGRO PRODUCTS PVT.LTD.,"SAAWARIYA, BANSIBARI Tea Tops India Tea Factory(Sanjivini Tea",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),12
Factory(Sanjivini Tea Company Pvt. Ltd) Tea Tops India Tea Factory,"Praakritik, Sathkhamar MURLIDHAR TEA INDUSTRIESMURLIDHAR TEA INDUSTRIES WEST",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),12
"Praakritik, Sathkhamar MURLIDHAR TEA INDUSTRIESMURLIDHAR TEA INDUSTRIES","KUMODPARA, URJAA, URJAA GOLD, URJAA ROYAL KUNJ BIHARI GOLD LEAF",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),12
KUNJ BIHARI GOLD LEAF INDUSTRIES PRIVATE LIMITED KUNJ BIHARI TEA FACTORY,"AASHVI GOLD, CHIKUPARA, PRAANVI GOLD, AASHVI GOLD GARDEN LEAF, AASHVI GOLD 24K,",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),12
PRIVATE LIMITED WISHGREEN INDUSTRIES PRIVATE LIMITED,"TULSIBARI GOLD, TULSIBARI ROYAL, TULSIBARI SUPREME, WISHGREEN SUPREME,",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),12
Dollancha Tea Industries(P) Ltd Dollancha Tea Industries(P) Ltd,"DOLLANCHA, DOLLANCHA GOLD, GUNABARI SUGANDH TEA PVT. LTDSUGANDH TEA PVT. LTD",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),12
"DOLLANCHA, DOLLANCHA GOLD, GUNABARI SUGANDH TEA PVT. LTDSUGANDH TEA PVT. LTD","CHECHAPARA GOLD, CHECHAPARA, AURA, AURA PREMIUM, A1 PREMIUM, A1,",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),12
BARABARI TEA AND ALLIED PVT LTD BARABARI TEA AND ALLIED PVT LTD,"SURESHWARA, SURESHWARA SUPREME, SURESHWARA GARDEN EVERGREEN TEA GROUPKUNTA AGRO PVT. LTD",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),13
"SURESHWARA, SURESHWARA SUPREME, SURESHWARA GARDEN EVERGREEN TEA GROUPKUNTA AGRO PVT. LTD","VAATSALYA DIAMOND, VAATSALYA GOLD, VAATSALYA, KARUNA, CHINU TEA, CHINU TEA",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),13
ROYBARI TEA COMPANY PVT. LTD. ROYBARI TEA COMPANY PVT. LTD.,"HAPPY ROYAL, ROYBARI GOLD, ROYBARI Lakhipur Tea & Agro Pvt. Ltd.Lakhipur Tea & Agro Pvt. Ltd.",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),13
"HAPPY ROYAL, ROYBARI GOLD, ROYBARI Lakhipur Tea & Agro Pvt. Ltd.Lakhipur Tea & Agro Pvt. Ltd.","Lakhipur Premium, Lakhipur Estate, Lakhipur, Lakhipur Padma SATABDI TEA PROCESSING (P)",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),13
SATABDI TEA PROCESSING (P) LTD SATABDI TEA PROCESSING (P) LTD,"SATABDI GOLD, SATABDI ROYAL, TALMA TEA, SATABDI TEA PARSURAM TEA",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),13
MANUFACTURER PVT. LTD. PARSURAM TEA MANUFACTURER PVT. LTD.,"Parsuram Diamond , Parsuram Premium, Parasmani Evergreen Tea Group",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),13
Evergreen Tea Group RAHAMAN AGRO PLANTATION (P) LTD,"HEER NANDINI DIAMOND, HEER NANDINI GOLD, HEERNANDINI, SURAJ BARI ROYAL, SURAJBARI,",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),13
"WARREN TEA LIMITEDTARA TEA ESTATEASSAMTARA WELCOME TEA COMPANY WELCOME TEA COMPANY-SHGASSAMKAIZEN, WELLCOME, KAILYN","MANUFACTURING PVT. LTD TIOK TEA ESTATE & STGASSAM TIOK WB CLONAL, TIOK WB, TIOK",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),32
