entity_name,type,state,marks,source_page
EASTERN DOOARS TEA COMPANY LTD DALOABARI TEA ESTATE,Organized Estate / Factory,Assam,,20
"DALOABARI,BANGLABARI,JEEVANS HREE EVER",Organized Estate / Factory,Assam,TEA PVT. LTDEVERASSAM TEA PVT. LTDASSAMANUBARI,20
FOGAWALA BALAJI TEA UNITGOHAINBAREE TEA FACTORY & STGS,Bought Leaf Factory (BLF),Assam,,20
"GOHAINBAREE, GOHAINBAREE PREMUM FUSION INDUSTRIESFUSION INDUSTRIES",Bought Leaf Factory (BLF),Assam,"ISHWAR GOLD, UMANG GOLD",20
G.D TIE-UP PVT LTD.BURRAPAHAR TEA ESTATE,Organized Estate / Factory,Assam,BURRAPAHAR,20
ARUN TEA ESTATE,Organized Estate / Factory,Assam,ARUN,20
BETJAN TEA ESTATE,Organized Estate / Factory,Assam,BETJAN TEA ESTATE,20
"DOORIA TEA ESTATE, BORKATONEE TEA ESTATE, GORUNGA TEA ESTATE",Organized Estate / Factory,Assam,DOORIA,20
GORUNGA TEA FACTORY & STG,Bought Leaf Factory (BLF),Assam,GORUNGA (KOTHARI PREMIUM),20
GOBINDAPORE & BIJLEEJAN TEA ESTATE,Organized Estate / Factory,Assam,BIJLEEJAN TEA,20
GONESHBARI TEA COMPANY P LTD GONESHBARI TEA ESTATE,Organized Estate / Factory,Assam,GONESHBARI,20
NONAIPARA TEA FACTORY & STG,Bought Leaf Factory (BLF),Assam,TUSKER VALLEY,20
COOMBERGRAM TEA ESTATE,Organized Estate / Factory,Assam,COOMBERGRAM,20
ORANGAJULI TEA FACTORY & STG,Bought Leaf Factory (BLF),Assam,BORNADI,20
NONAIPARA TEA FACTORY,Organized Estate / Factory,Assam,NONAIPARA,20
ORANGAJULI TEA ESTATE,Organized Estate / Factory,Assam,ORANGAJULI,20
HARCHURAH TEA ESTATE,Organized Estate / Factory,Assam,HARCHURAH,20
GOPAL KRISHNA TEA CO. PVT LTD GOPAL KRISHNA TE,Organized Estate / Factory,Assam,GOPAL KRISHNA TEA,21
GOROMPANI AGRO TEA FACTORY & STGS,Bought Leaf Factory (BLF),Assam,,21
"GOROMPANI, NAHORBARI, NAHORBARI GOLAGHAT GROB TEA COMPANYTEEN ALI",Organized Estate / Factory,Assam,TEENALI,21
HALMIRA ESTATE TEA PRIVATE HALMIRA TEA ESTATE,Organized Estate / Factory,Assam,HALMIRA,21
HARISHPUR TEA COMPANY PVT. LTD HARISHPUR TE,Organized Estate / Factory,Assam,HARISHPUR,21
HIRAJULI TEA COMPANY LIMITED HIRAJULI TEA ESTATE & FACTORY,Organized Estate / Factory,Assam,HIRAJULI,21
HOLLONGHABHI TEA ESTATE PVT. LTD. HOLLONGHABI TEA ESTATE & STG,Organized Estate / Factory,Assam,HOLLONGHABI,21
HOOGRAJULI (ASSAM) TEA COMPANY HOOGRAJULI TEA ESTATE,Organized Estate / Factory,Assam,HOOGRAJULI,21
HORUJAN TEA COMPANYHORUJAN TEA COMPANY,Organized Estate / Factory,Assam,,21
ISHWAR TEA COMPANY PVT LTD - SHG,Organized Estate / Factory,Assam,"GODUKA, MOHANBAG",21
J J TEA PVT LTDSRI DANGARIA TEA FACTORY & STG,Bought Leaf Factory (BLF),Assam,DANGARIA TEA,21
J M AGRO INDUSTRIESDHOLLA TEA ESTATE & FACTORY,Tea Processor / Unit,Assam,DHOLLA,21
JAGUNBARI TEA COMPANYJAGUNBARI TEA COMPANY,Organized Estate / Factory,Assam,JAGUNBARI TEA,21
JAINEX TEA COMPANY PVT LTD KALIAPANI TEA FACTORY,Organized Estate / Factory,Assam,"KALIAPANI, SHALMARI",21
JALANNAGAR DEVEOPMENT PVT. LTD. CHOTA TINGRAI,Organized Estate / Factory,Assam,CHOTA TINGRAI,21
JALLAN FURKATING TEA CO. PVT. LTD. FURKATING TEA FACTORY & STG,Bought Leaf Factory (BLF),Assam,FURKATING,21
MELENG TEA ESTATE,Organized Estate / Factory,Assam,,21
"TOWKOK, MANGALAM & MANJUSHREE TEA ESTATES",Organized Estate / Factory,Assam,,21
JAYANTI TEA PVT LTDJAYANTI TEA PVT LTD -SHG,Organized Estate / Factory,Assam,"JAYANTI, MISSAMARA",22
BURTOLL TEA ESTATE,Organized Estate / Factory,Assam,,22
"BURTOLL, BURTOLL GOLD, BURTOLL SPECIAL DEWAN TEA ESTATE",Organized Estate / Factory,Assam,,22
"DEWAN, DEWAN GOLD, DEWAN SPECIAL, DEWAN CLONAL JELLALPORE TEA ESTATE",Organized Estate / Factory,Assam,,22
"SPECIAL, JELLALPORE CLONAL, JELLALPORE NORMAL LABAC TEA ESTATE",Organized Estate / Factory,Assam,,22
"LABAC CLONAL, LABAC GOLD, LABAC SPECIAL KALLINE TEA ESTATE",Organized Estate / Factory,Assam,,22
"KALLINE GOLD, KALLINE SPL, KALLINE GOLD 1 NAHORHABI TEA ESTATE",Organized Estate / Factory,Assam,,22
"PARBATIPUR TEA ESTATE, MULCHANDBAG TEA ESTATE",Organized Estate / Factory,Assam,"JODHPUR TEA RL/CL , JODHPUR",22
JOONKTOLLEE TEA -STG,Organized Estate / Factory,Assam,DEESANG,22
JOONKTOLLEE TE,Organized Estate / Factory,Assam,JOONKTOLLEE,22
JAMIRAH TE,Organized Estate / Factory,Assam,JAMIRAH,22
NILMONI TEA ESTATE,Organized Estate / Factory,Assam,RANGABAM,22
JUTLIBARI TEA AND PLANTATIONS LLP JUTLIBARI TEA ESTATE,Organized Estate / Factory,Assam,JUTLIBARI,22
KADAMBA TEA COMPANYKADAMBA TEA COMPANY AND STG,Organized Estate / Factory,Assam,KADAMB ESTATE,22
KAKADONGA TEA ESTATES PVT. LTD KAKADONGA TE,Organized Estate / Factory,Assam,KAKADONGA TEA ESTATE,22
KALYANI TEA COMPANY LTD.KENDUGURI TE,Organized Estate / Factory,Assam,,23
KAMARBANDHA TEA FACTORY KAMARBANDHA TEA FACTORY,Organized Estate / Factory,Assam,KAMARBANDHA,23
KANCO TEA AND INDUSTRIES LTD BAMONPOOKRIE TEA ESTATE,Organized Estate / Factory,Assam,BAMONPOOKRIE,23
KANCO TEA INDUSTRIES LIMITED MACKEYPORE TE,Bought Leaf Factory (BLF),Assam,MACKEYPORE,23
KANKARIA TEA CO.KRISHNA SUSHAIBINI TE,Organized Estate / Factory,Assam,KRISHNA TEA,23
KANOI PLANTATIONS P. LTDDOOLAHAT TEA ESTATE FACTORY,Organized Estate / Factory,Assam,DOOLAHAT,23
JORBAGH TEA FACTORY & LINGRIPOOKRIE TEA ESTATE,Organized Estate / Factory,Assam,LIGRIPOOKRIE TEA,23
KESHAN TEA INDUSTRIESKESHAN TEA FACTORY & STGS,Bought Leaf Factory (BLF),Assam,"TARINIBARI, PURVANYA",23
KESHAVA PLANTATIONS PVT LTD AZIZBAGH TEA ESTATE,Organized Estate / Factory,Assam,AZIZBAGH,23
KOLONY TEA ESTATE PRIVATE LTD KOLONY TE,Organized Estate / Factory,Assam,KOLONY,23
KOOMBER TEA ESTATEKOOMBER TEA ESTATE,Organized Estate / Factory,Assam,KOOMBER,23
KORANGANI TEA CO. PVT. LTD KORANGANI TEA CO. PVT. LTD,Organized Estate / Factory,Assam,KORANGANI,23
KRISHNABEHARI TEA CO. LTD.KRISHNABEHARI TE,Organized Estate / Factory,Assam,,23
